user_name;id
Bruno-Nestor Azérot;1506150265
Michel Piron;1446374768
Martine Martinel;1140898249
TeamBouillon;1116339403
Edouard Philippe;1110890216
Jean-Pierre Maggi;1101441914
Pascal Popelin;1042924963
Bernard Lesterlin;1022379288
Alain Moyne-Bressand;999405727
Jacques Bompard;990589826
Patrick Vignal;980242016
MF Bechtel;974283673
Herve Gaymard;964928286
Jacques Cresta;957135793
Sylvie Pichot;952012243
GiseleBiemouret;947822287
Philippe Houillon;945489566
C. de Rocca Serra;944611322
Julie SOMMARUGA;942329886
Ch. Pirès Beaune;938843677
Hervé Pellois;920876347
Anne-Yvonne Le Dain;899545604
Patrick Devedjian;889674270
Sonia Lagarde;886646724
cottel jean jacques;879705997
Catherine Troallic;873330122
Thomas Thévenoud;872572057
Poniatowski Axel;872426652
Gwendal ROUILLARD;856059444
Éric Alauzet;842102300
Sandrine Doucet;827068873
Jean-Philippe MALLÉ;821565966
Alexis Bachelay;817779691
Olivier Dassault;796057206
Barbara Romagnan;775431470
Jean-Louis Destans;726194378
Marie-Lou MARCEL;716652518
Joëlle Huillier;618329123
M-A Chapdelaine;613272422
Annick Lepetit;612517041
Jacques Valax;608061059
olivier veran;600345740
Fanélie Carrey-Conte;599975384
Philippe Plisson;599522435
Françoise Dubois;589263030
J-Sébastien Vialatte;588978078
André Santini;584497676
Michel Destot;583752447
Sophie Dessus;582163930
Jean Grellier;581634493
Véronique Massonneau;580861660
Guy-Michel Chauveau;579260704
JeanFrédéric Poisson;578114675
ghjky;576463250
Jean-Michel Couve;574491833
Jean-Jacques GUILLET;573459274
Philippe Le Ray;572189277
François VANNSON;571071036
Guy Teissier;570703871
Gilles BOURDOULEIX;569864901
Seybah Dagoma;569194586
Patrick BLOCHE;568099321
Geneviève Gaillard;557621949
Le Loch Annick;556859694
Bernard PERRUT;556754160
Elie Aboud;556013270
Jean-Luc Bleunven;555333116
Lionnel Luca;554642415
valerie Lacroute;554183197
François Fillon;551669623
Brigitte Allain;550973825
Sophie Errante;549319211
JALTON Eric;546345075
Lucette_Lousteau;544655150
Sandrine Hurel;539691398
Alain Tourret;538968658
Daubresse;538945428
Clergeau MF;538844486
Arlette Grosskost;538295315
Olivier Falorni;536485159
Saint-André Stephane;535168719
Alain LEBOEUF;534130523
Gérard Cherpion;532466430
André Chassaigne;532293856
Virginie Duby-Muller;531550143
Laurent Baumel;531036044
Dominique TIAN;529397593
MARTINE;525723587
Philippe Kemel;525720608
PatrickVignal2012;525631054
Catherine LEMORTON;523440964
FM LAMBERT;522084022
Marion Le Pen;520449734
Julien Aubert;520259649
Guy DELCOURT;520215726
Monique Orphé;519525122
Joaquim Pueyo;518851788
Carole Delga;518368742
William DUMAS;516565399
Gilles Lurton;516342405
Michèle Tabarot;514546669
Gilles Carrez;513300752
Christophe Borgel;513295044
Marietta Karamanli;509948730
Patrick Ollier;507623024
Jean-Patrick Gille;505998825
G. Chevrollier;504963196
Jean-David Ciot;502316644
Patrick Labaune;501762650
Marie-Hélène Fabre;501242733
Daniel Vaillant;501029533
Jean-Yves Caullet;500126025
Etienne BLANC;499128441
Claude Greff;497074191
Pierre Lellouche;495145784
fx villain;494847902
Reynaud Marie-Line;494816955
Isabelle Bruneau;494342520
gilbertlebris;494120525
Dominique Le Mèner;493144540
Paul Giacobbi;492989594
jean pierre door;492616495
Raimbourg 2012;492247783
Eva SAS;489348571
Jean-Marie Beffara;487428087
Françoise Dumas;485535439
Bourguignon Brigitte;484754469
Hervé Mariton;483087012
Alain Gest;480272828
Christian Kert;479566469
Chantal GUITTET;478019144
Colette Capdevielle;477932128
Fournier-Armand;476162286
Fanny Dombre-Coste;474789922
Linda Gourjade;474040661
Jean-Marie Tetart;471886242
Gilbert Collard;471163803
IsabelleBruneau;470396939
Serge LETCHIMY;470370230
Christian Assaf;470171801
Alain Rousset;469126890
Nathalie Chabanne;465576689
Christophe Caresche;465430756
Thierry Robert;461870701
Ségolène Neuville;461101925
Marianne Dubois;459093089
Jacques Kossowski;456993474
Sylvie Tolmont;456917253
Nathalie Appéré;456900236
O. Audibert-Troin;456766294
Jean-François Lamour;456524623
François de Rugy;455806353
Abeille Laurence;455789179
Fabrice Verdier;454892339
Barbara Pompili;454336881
Paul Molac;450968514
Dominique Potier;450644069
Jean-Pierre BLAZY;449635096
Suzanne Tallard;448362923
Valérie Corre;444541404
Valérie Rabault;443129202
Michel Zumkeller;441892644
Thierry Mandon;440954376
Anne Grommerch;440704680
Philippe Cochet;440072232
Richard Ferrand;438305534
Nathalie NIESON;438257671
Charles de Courson;436816838
Bertrand Pancher;436780101
Clergeau MF;432375298
François André;430662853
Élisabeth Pochon;426201331
Claude de Ganay;424117102
Michel VERGNIER;423468747
Frédéric Barbier;417049363
Claudine_Schmid;415008577
Jean Claude Mignon;414886583
DanièleHoffmanRispal;414671299
François Pupponi;413819531
Bernard Gérard;412330011
Jean Francois Mancel;409284332
MARLEIX Alain;409232344
Philippe Gomès;408115726
Franck Riester;406978622
Pascal Cherki;405919523
Karine Berger;402841247
Yannick MOREAU ن;402626426
Philippe Vitel;401888912
Marc Laffineur ن;400220155
Clotilde VALTER;400219506
Jean-Michel Clément;393306373
Jean-Luc Moudenc;392096074
François Fillon;391938592
Francoise Guégot;390645931
Eric Woerth;390156878
Georges FENECH;388805808
Philippe Nauche;387335648
STEPHANE TRAVERT;382747703
Jean-Pierre Decool;382129407
Franck Marlin;380990041
Philippe GOSSELIN;380373029
Claude Goasguen;376252824
Bruno Le Maire;374184532
Jean Leonetti;373380797
Monique Iborra;372703035
Pascale Boistard;369760052
Jean-Marie Le Guen;369423300
Jérôme Chartier;367186655
Philippe Vigier;365505352
DeputeMartin;365377081
MaudOlivier;364245967
JC Lagarde;360680603
Philippe Duron;359994523
Christophe Léonard;356342009
Thierry Braillard;347137825
Jean-Jacques Urvoas;345938366
Eduardo RIHAN CYPEL;342015978
Philippe Noguès;337669071
Guillaume BACHELAY;334953814
Pouria Amirshahi;330377999
Daniel Gibbs;320146784
Carlos DA SILVA;310478953
Monique Rabin;308800781
Yves Albarello;306229486
J-J Candelier;305507057
Catherine Vautrin;296733634
Christophe Bouillon;295304575
Arnaud Leroy;294099915
Dominique Dord;288670629
DenajaSébastien;285226634
Bernard Accoyer;284542499
I.Le Callennec;280953384
Jean-Louis BORLOO;279137479
Olivier Dussopt;278063562
Valérie Boyer ن;276934698
Daniel Fasquelle;267310445
Henri Jibrayel;266432967
Jean-Claude Guibal;266110087
Alain Chrétien;254629290
Dominique Chauvel;249564899
Florent Boudié;245747441
Erwann Binet;244890770
Pierre Morange;243300558
Jean Jacques Vlody;242603803
Jean-Louis Roumégas;234272306
Régis JUANICO;230495042
frederique massat;224537286
JEAN-CLAUDE BOUCHET;224265528
Christophe Cavard;216290050
Christian Paul;215292075
JC Taugourdeau;214110691
Olivier Faure;213754264
Gérald DARMANIN;209825928
Pierre Alain Muet;203853981
Pascal Terrasse;203828194
Corinne Erhel;199317520
